CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	0		0
2	0	0		0
3	0	2	0.00	2
4	0	2	0.00	2
5	0	0		0
6	0	0		0
7	0	0		0
8	0	0		0
9	0	0		0
10	0	2	0.00	2
11	0	2	0.00	2
12	0	2	0.00	2
13	0	0		0
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	0	2	0.00	2
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	4	0.00	4
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	0		0
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	0	2	0.00	2
47	0	2	0.00	2
48	0	0		0
49	0	2	0.00	2
50	0	0		0
51	0	2	0.00	2
52	0	0		0
53	0	0		0
54	0	0		0
55	0	2	0.00	2
56	0	0		0
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	0		0
62	0	0		0
63	0	0		0
64	0	4	0.00	4
65	0	0		0
66	0	0		0
67	0	0		0
68	0	0		0
69	0	0		0
70	0	0		0
71	0	0		0
72	0	0		0
73	0	2	0.00	2
74	0	0		0
75	0	2	0.00	2
76	0	2	0.00	2

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	0		0
2	0	0		0
3	0	0		0
4	0	0		0
5	0	0		0
6	0	0		0
7	0	2	0.00	2
8	0	0		0
9	0	0		0
10	0	2	0.00	2
11	0	0		0
12	0	0		0
13	0	2	0.00	2
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	2	0.00	2
26	0	0		0
27	0	0		0
28	0	0		0
29	0	2	0.00	2
30	0	0		0
31	0	0		0
32	0	2	0.00	2
33	0	4	0.00	4
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	2	0.00	2
41	0	0		0
42	0	0		0
43	0	2	0.00	2
44	0	0		0
45	0	0		0
46	0	2	0.00	2
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	0		0
52	0	0		0
53	0	0		0
54	0	0		0
55	0	0		0
56	0	2	0.00	2
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	2	0.00	2
62	0	0		0
63	0	2	0.00	2
64	0	0		0
65	0	0		0
66	0	0		0
67	0	0		0
68	0	0		0
69	0	0		0
70	0	0		0
71	0	0		0
72	0	0		0
73	0	0		0
74	0	0		0
75	0	0		0
76	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	2	0.00	2
2	0	2	0.00	2
3	0	8	0.00	8
4	0	6	0.00	6
5	0	2	0.00	2
6	0	2	0.00	2
7	0	2	0.00	2
8	0	2	0.00	2
9	0	2	0.00	2
10	0	4	0.00	4
11	0	2	0.00	2
12	0	0		0
13	0	2	0.00	2
14	0	0		0
15	0	2	0.00	2
16	0	0		0
17	0	6	0.00	6
18	0	6	0.00	6
19	0	0		0
20	0	2	0.00	2
21	0	2	0.00	2
22	0	4	0.00	4
23	0	0		0
24	0	0		0
25	0	0		0
26	0	2	0.00	2
27	0	2	0.00	2
28	0	2	0.00	2
29	0	2	0.00	2
30	0	6	0.00	6
31	0	4	0.00	4
32	0	4	0.00	4
33	0	2	0.00	2
34	0	2	0.00	2
35	0	2	0.00	2
36	0	2	0.00	2
37	0	4	0.00	4
38	0	2	0.00	2
39	0	4	0.00	4
40	0	2	0.00	2
41	0	8	0.00	8
42	0	6	0.00	6
43	0	2	0.00	2
44	0	6	0.00	6
45	0	6	0.00	6
46	0	12	0.00	12
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	2	0.00	2
52	0	6	0.00	6
53	0	2	0.00	2
54	0	4	0.00	4
55	0	0		0
56	0	2	0.00	2
57	0	4	0.00	4
58	0	0		0
59	0	2	0.00	2
60	0	0		0
61	0	0		0
62	0	6	0.00	6
63	0	2	0.00	2
64	0	4	0.00	4
65	0	2	0.00	2
66	0	2	0.00	2
67	0	6	0.00	6
68	0	2	0.00	2
69	0	0		0
70	0	0		0
71	0	0		0
72	0	4	0.00	4
73	0	4	0.00	4
74	0	2	0.00	2
75	0	6	0.00	6
76	0	6	0.00	6

